"Año","Periodo","Cure"
"2020","Día 31 (Enero)","0"
"2020","Día 1 (Febrero)","0"
"2020","Día 2 (Febrero)","0"
"2020","Día 3 (Febrero)","0"
"2020","Día 4 (Febrero)","0"
"2020","Día 5 (Febrero)","0"
"2020","Día 6 (Febrero)","0"
"2020","Día 7 (Febrero)","0"
"2020","Día 8 (Febrero)","0"
"2020","Día 9 (Febrero)","0"
"2020","Día 10 (Febrero)","0"
"2020","Día 11 (Febrero)","0"
"2020","Día 12 (Febrero)","0"
"2020","Día 13 (Febrero)","0"
"2020","Día 14 (Febrero)","2"
"2020","Día 15 (Febrero)","2"
"2020","Día 16 (Febrero)","2"
"2020","Día 17 (Febrero)","2"
"2020","Día 18 (Febrero)","2"
"2020","Día 19 (Febrero)","2"
"2020","Día 20 (Febrero)","2"
"2020","Día 21 (Febrero)","2"
"2020","Día 22 (Febrero)","2"
"2020","Día 23 (Febrero)","2"
"2020","Día 24 (Febrero)","2"
"2020","Día 25 (Febrero)","2"
"2020","Día 26 (Febrero)","2"
"2020","Día 27 (Febrero)","2"
"2020","Día 28 (Febrero)","2"
"2020","Día 29 (Febrero)","2"
"2020","Día 1 (Marzo)","2"
"2020","Día 2 (Marzo)","3"
"2020","Día 3 (Marzo)","3"
"2020","Día 4 (Marzo)","3"
"2020","Día 5 (Marzo)","10"
"2020","Día 6 (Marzo)","10"
"2020","Día 7 (Marzo)","30"
"2020","Día 8 (Marzo)","30"
"2020","Día 9 (Marzo)","30"
"2020","Día 10 (Marzo)","135"
"2020","Día 11 (Marzo)","138"
"2020","Día 12 (Marzo)","189"
"2020","Día 13 (Marzo)","193"
"2020","Día 14 (Marzo)","517"
"2020","Día 15 (Marzo)","517"
"2020","Día 16 (Marzo)","530"
"2020","Día 17 (Marzo)","1028"
"2020","Día 18 (Marzo)","1081"
"2020","Día 19 (Marzo)","1107"
"2020","Día 20 (Marzo)","1585"
"2020","Día 21 (Marzo)","2125"
"2020","Día 22 (Marzo)","2575"
"2020","Día 23 (Marzo)","3355"
"2020","Día 24 (Marzo)","3794"
"2020","Día 25 (Marzo)","5367"
"2020","Día 26 (Marzo)","7015"
"2020","Día 27 (Marzo)","9357"
"2020","Día 28 (Marzo)","12285"
"2020","Día 29 (Marzo)","14709"
"2020","Día 30 (Marzo)","16780"
"2020","Día 31 (Marzo)","19259"
"2020","Día 1 (Abril)","22647"
"2020","Día 2 (Abril)","26743"
"2020","Día 3 (Abril)","30710"
