"Año","Periodo","Dead"
"2020","Día 31 (Enero)","0"
"2020","Día 1 (Febrero)","0"
"2020","Día 2 (Febrero)","0"
"2020","Día 3 (Febrero)","0"
"2020","Día 4 (Febrero)","0"
"2020","Día 5 (Febrero)","0"
"2020","Día 6 (Febrero)","0"
"2020","Día 7 (Febrero)","0"
"2020","Día 8 (Febrero)","0"
"2020","Día 9 (Febrero)","0"
"2020","Día 10 (Febrero)","0"
"2020","Día 11 (Febrero)","0"
"2020","Día 12 (Febrero)","0"
"2020","Día 13 (Febrero)","1"
"2020","Día 14 (Febrero)","1"
"2020","Día 15 (Febrero)","1"
"2020","Día 16 (Febrero)","1"
"2020","Día 17 (Febrero)","1"
"2020","Día 18 (Febrero)","1"
"2020","Día 19 (Febrero)","1"
"2020","Día 20 (Febrero)","1"
"2020","Día 21 (Febrero)","1"
"2020","Día 22 (Febrero)","1"
"2020","Día 23 (Febrero)","1"
"2020","Día 24 (Febrero)","1"
"2020","Día 25 (Febrero)","1"
"2020","Día 26 (Febrero)","1"
"2020","Día 27 (Febrero)","1"
"2020","Día 28 (Febrero)","1"
"2020","Día 29 (Febrero)","1"
"2020","Día 1 (Marzo)","1"
"2020","Día 2 (Marzo)","1"
"2020","Día 3 (Marzo)","1"
"2020","Día 4 (Marzo)","1"
"2020","Día 5 (Marzo)","3"
"2020","Día 6 (Marzo)","5"
"2020","Día 7 (Marzo)","8"
"2020","Día 8 (Marzo)","17"
"2020","Día 9 (Marzo)","29"
"2020","Día 10 (Marzo)","36"
"2020","Día 11 (Marzo)","50"
"2020","Día 12 (Marzo)","84"
"2020","Día 13 (Marzo)","121"
"2020","Día 14 (Marzo)","193"
"2020","Día 15 (Marzo)","292"
"2020","Día 16 (Marzo)","309"
"2020","Día 17 (Marzo)","491"
"2020","Día 18 (Marzo)","598"
"2020","Día 19 (Marzo)","767"
"2020","Día 20 (Marzo)","1002"
"2020","Día 21 (Marzo)","1326"
"2020","Día 22 (Marzo)","1720"
"2020","Día 23 (Marzo)","2182"
"2020","Día 24 (Marzo)","2696"
"2020","Día 25 (Marzo)","3434"
"2020","Día 26 (Marzo)","4089"
"2020","Día 27 (Marzo)","4858"
"2020","Día 28 (Marzo)","5690"
"2020","Día 29 (Marzo)","6528"
"2020","Día 30 (Marzo)","7340"
"2020","Día 31 (Marzo)","8189"
"2020","Día 1 (Abril)","9053"
"2020","Día 2 (Abril)","10003"
"2020","Día 3 (Abril)","10935"
