,Infect,Dead,Cure
0,194.0,1.0,3.0
1,224.0,3.0,10.0
2,350.0,5.0,10.0
3,392.0,8.0,30.0
4,542.0,17.0,30.0
5,940.0,29.0,30.0
6,1451.0,36.0,135.0
7,1814.0,50.0,138.0
8,2695.0,84.0,189.0
9,3895.0,121.0,193.0
10,5043.0,193.0,517.0
11,6944.0,292.0,517.0
12,8312.0,309.0,530.0
13,9659.0,491.0,1028.0
14,12037.0,598.0,1081.0
15,15273.0,767.0,1107.0
16,17393.0,1002.0,1585.0
17,21475.0,1326.0,2125.0
18,24277.0,1720.0,2575.0
19,27552.0,2182.0,3355.0
20,33183.0,2696.0,3794.0
21,38809.0,3434.0,5367.0
22,45084.0,4089.0,7015.0
23,49844.0,4858.0,9357.0
24,54273.0,5690.0,12285.0
25,57560.0,6528.0,14709.0
26,61075.0,7340.0,16780.0
27,66969.0,8189.0,19259.0
28,70436.0,9053.0,22647.0
29,73492.0,10003.0,26743.0
30,76065.0,10935.0,30710.0
